"datetime","machineID","comp"
2025-05-22 07:00:00,1,"comp4"
2025-05-22 15:00:00,2,"comp1"
2025-05-22 23:00:00,3,"comp3"
2025-05-23 06:00:00,4,"comp2"
2025-05-23 14:00:00,5,"comp3"
2025-05-23 22:00:00,1,"comp2"
2025-05-24 05:00:00,2,"comp4"
2025-05-24 13:00:00,3,"comp1"
2025-05-24 21:00:00,4,"comp3"
2025-05-25 04:00:00,5,"comp2"
2025-05-22 10:00:00,6,"comp1"
2025-05-23 01:00:00,1,"comp3"
2025-05-23 09:00:00,2,"comp2"
2025-05-23 17:00:00,3,"comp4"
2025-05-24 00:00:00,4,"comp1"
2025-05-24 08:00:00,5,"comp3"
2025-05-24 16:00:00,6,"comp2"
2025-05-25 00:00:00,1,"comp1"
2025-05-22 18:00:00,4,"comp3"
2025-05-23 03:00:00,5,"comp4"
